V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.013792239512563795
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.02355455466619716
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.03092266712338572
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.03515668456088042
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.03793199947808738
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.03953440596309716
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0464898915161874
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.04781438491954103
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.051398314584594706
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.05347514382618017
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.05376327548261196
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.057293189874898044
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.059002282651594525
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.05905085120047012
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.06255980666857518
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.06277231133502041
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.06301208683278375
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.06445319351367561
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0646252327571685
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.06501248655824855
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.06591736264203152
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.06601338067356362
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.06628254320311759
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.06629206004446603
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.06658581382849323
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0669104456374292
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.06784773100667439
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.06828244695046029
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.06939475776807484
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.06948034895696716
