V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.002372753066726037
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.012445393743954192
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.013067450468112578
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.01763180215421783
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.01812341629162993
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.02043613546492294
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.02073597338524574
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.026890209974701065
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.02788212675685586
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.028790277533670125
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.029158344772674625
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.029302206361826354
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.030774230748195623
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.03101959938097112
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.03366007825245407
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.03409341721526533
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.03456289196534848
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.03538638697972638
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.03590281990530943
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.03595741141023902
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.037045824242647775
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.03722224930583035
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0374025999177768
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.037489466926294436
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.03801195264426068
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.038484566549411965
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.03861929076792034
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.03922238942481154
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.039593218042489275
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.03992259194274765
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0410062172419148
67.0,32.0,0.0,1.0,0.0,0.0,0.0,0.04133451930235992
66.0,33.0,0.0,1.0,0.0,0.0,0.0,0.04188056127962091
65.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0422082023671035
64.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0426277040858003
63.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0431779607805184
62.0,37.0,0.0,1.0,0.0,0.0,0.0,0.04340388107224358
61.0,38.0,0.0,1.0,0.0,0.0,0.0,0.04364576748905768
60.0,39.0,0.0,1.0,0.0,0.0,0.0,0.043799609644015254
59.0,40.0,0.0,1.0,0.0,0.0,0.0,0.04382570073798275
58.0,41.0,0.0,1.0,0.0,0.0,0.0,0.043962175913240205
57.0,42.0,0.0,1.0,0.0,0.0,0.0,0.043984688163962934
56.0,43.0,0.0,1.0,0.0,0.0,0.0,0.044821260806135535
55.0,44.0,0.0,1.0,0.0,0.0,0.0,0.04509332206115004
54.0,45.0,0.0,1.0,0.0,0.0,0.0,0.045658999433535165
53.0,46.0,0.0,1.0,0.0,0.0,0.0,0.04572129452465383
52.0,47.0,0.0,1.0,0.0,0.0,0.0,0.045991752162859424
51.0,48.0,0.0,1.0,0.0,0.0,0.0,0.046024477297667635
50.0,49.0,0.0,1.0,0.0,0.0,0.0,0.046133544817822676
49.0,50.0,0.0,1.0,0.0,0.0,0.0,0.04655248297786525
48.0,51.0,0.0,1.0,0.0,0.0,0.0,0.04718612750378038
47.0,52.0,0.0,1.0,0.0,0.0,0.0,0.04724025665995326
46.0,53.0,0.0,1.0,0.0,0.0,0.0,0.047454444545977685
45.0,54.0,0.0,1.0,0.0,0.0,0.0,0.04792854328848831
44.0,55.0,0.0,1.0,0.0,0.0,0.0,0.04808185478428172
43.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0482361015517318
42.0,57.0,0.0,1.0,0.0,0.0,0.0,0.048290233985689504
41.0,58.0,0.0,1.0,0.0,0.0,0.0,0.04874677727841393
40.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0489929412055992
39.0,60.0,0.0,1.0,0.0,0.0,0.0,0.049522051693691664
38.0,61.0,0.0,1.0,0.0,0.0,0.0,0.04997531667752945
37.0,62.0,0.0,1.0,0.0,0.0,0.0,0.050006997317196364
36.0,63.0,0.0,1.0,0.0,0.0,0.0,0.05010245835729497
35.0,64.0,0.0,1.0,0.0,0.0,0.0,0.050424576713102666
34.0,65.0,0.0,1.0,0.0,0.0,0.0,0.05072391048511852
