V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0033529189179964487
97.0,2.0,0.0,1.0,0.0,0.0,0.0,0.008639390318249503
96.0,3.0,0.0,1.0,0.0,0.0,0.0,0.009107083384993928
95.0,4.0,0.0,1.0,0.0,0.0,0.0,0.01019186198166315
94.0,5.0,0.0,1.0,0.0,0.0,0.0,0.010780839377155899
93.0,6.0,0.0,1.0,0.0,0.0,0.0,0.013080358566229019
92.0,7.0,0.0,1.0,0.0,0.0,0.0,0.013325732677436062
91.0,8.0,0.0,1.0,0.0,0.0,0.0,0.01340945914990475
90.0,9.0,0.0,1.0,0.0,0.0,0.0,0.013434285078925487
89.0,10.0,0.0,1.0,0.0,0.0,0.0,0.013837730306465562
88.0,11.0,0.0,1.0,0.0,0.0,0.0,0.013909808788751291
87.0,12.0,0.0,1.0,0.0,0.0,0.0,0.014264769863889307
86.0,13.0,0.0,1.0,0.0,0.0,0.0,0.014453044427178522
85.0,14.0,0.0,1.0,0.0,0.0,0.0,0.015176199441159737
84.0,15.0,0.0,1.0,0.0,0.0,0.0,0.015336488243655898
83.0,16.0,0.0,1.0,0.0,0.0,0.0,0.01643827436464763
82.0,17.0,0.0,1.0,0.0,0.0,0.0,0.016447925584930977
81.0,18.0,0.0,1.0,0.0,0.0,0.0,0.016515158632002674
80.0,19.0,0.0,1.0,0.0,0.0,0.0,0.017088431458979213
79.0,20.0,0.0,1.0,0.0,0.0,0.0,0.017117417455718462
78.0,21.0,0.0,1.0,0.0,0.0,0.0,0.01733525408386429
77.0,22.0,0.0,1.0,0.0,0.0,0.0,0.017442995612963776
76.0,23.0,0.0,1.0,0.0,0.0,0.0,0.017592497021601754
75.0,24.0,0.0,1.0,0.0,0.0,0.0,0.01801464455256193
74.0,25.0,0.0,1.0,0.0,0.0,0.0,0.018977529933609377
73.0,26.0,0.0,1.0,0.0,0.0,0.0,0.01981689879622153
72.0,27.0,0.0,1.0,0.0,0.0,0.0,0.020147271667007922
71.0,28.0,0.0,1.0,0.0,0.0,0.0,0.02053124620605522
70.0,29.0,0.0,1.0,0.0,0.0,0.0,0.02180755504676902
69.0,30.0,0.0,1.0,0.0,0.0,0.0,0.022676069590919425
68.0,31.0,0.0,1.0,0.0,0.0,0.0,0.022680377475677607
67.0,32.0,0.0,1.0,0.0,0.0,0.0,0.022808394786044423
66.0,33.0,0.0,1.0,0.0,0.0,0.0,0.023623614514420903
65.0,34.0,0.0,1.0,0.0,0.0,0.0,0.024948382576765713
64.0,35.0,0.0,1.0,0.0,0.0,0.0,0.02506632187113395
63.0,36.0,0.0,1.0,0.0,0.0,0.0,0.02646615546464224
62.0,37.0,0.0,1.0,0.0,0.0,0.0,0.026594317640389317
61.0,38.0,0.0,1.0,0.0,0.0,0.0,0.027970681414026734
60.0,39.0,0.0,1.0,0.0,0.0,0.0,0.028351952352745964
59.0,40.0,0.0,1.0,0.0,0.0,0.0,0.02862681832614255
58.0,41.0,0.0,1.0,0.0,0.0,0.0,0.029528371851721427
57.0,42.0,0.0,1.0,0.0,0.0,0.0,0.029713509631180572
56.0,43.0,0.0,1.0,0.0,0.0,0.0,0.029894992316288203
55.0,44.0,0.0,1.0,0.0,0.0,0.0,0.02993277757218237
54.0,45.0,0.0,1.0,0.0,0.0,0.0,0.03042835326083598
53.0,46.0,0.0,1.0,0.0,0.0,0.0,0.03280390421933095
52.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0330030333978485
51.0,48.0,0.0,1.0,0.0,0.0,0.0,0.03322326390354529
50.0,49.0,0.0,1.0,0.0,0.0,0.0,0.03341749372415504
49.0,50.0,0.0,1.0,0.0,0.0,0.0,0.033572043123817424
48.0,51.0,0.0,1.0,0.0,0.0,0.0,0.03369518892763555
47.0,52.0,0.0,1.0,0.0,0.0,0.0,0.034531909022340275
46.0,53.0,0.0,1.0,0.0,0.0,0.0,0.034721344165273636
45.0,54.0,0.0,1.0,0.0,0.0,0.0,0.03530933909582467
44.0,55.0,0.0,1.0,0.0,0.0,0.0,0.03628006406328046
43.0,56.0,0.0,1.0,0.0,0.0,0.0,0.03642206404536837
42.0,57.0,0.0,1.0,0.0,0.0,0.0,0.03664042219783334
41.0,58.0,0.0,1.0,0.0,0.0,0.0,0.036806058687383625
40.0,59.0,0.0,1.0,0.0,0.0,0.0,0.03718963100405158
39.0,60.0,0.0,1.0,0.0,0.0,0.0,0.037200689900817346
38.0,61.0,0.0,1.0,0.0,0.0,0.0,0.037433464411868615
37.0,62.0,0.0,1.0,0.0,0.0,0.0,0.03875937499010367
36.0,63.0,0.0,1.0,0.0,0.0,0.0,0.039141171144442426
35.0,64.0,0.0,1.0,0.0,0.0,0.0,0.03940638637469416
34.0,65.0,0.0,1.0,0.0,0.0,0.0,0.039439428278303795
33.0,66.0,0.0,1.0,0.0,0.0,0.0,0.04098091680131386
