V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.006877659627899126
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.00810394932809133
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.009551666677430827
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.010432452337305949
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.013861915267392574
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.01420954301950227
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.01522081675984055
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.016348652368350352
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.01714081891716373
89.0,10.0,0.0,0.0,0.0,0.0,1.0,0.017311675049871855
88.0,11.0,0.0,0.0,0.0,0.0,1.0,0.017472092626102075
87.0,12.0,0.0,0.0,0.0,0.0,1.0,0.02036073870184664
86.0,13.0,0.0,0.0,0.0,0.0,1.0,0.020715156600568562
85.0,14.0,0.0,0.0,0.0,0.0,1.0,0.02328115442273341
84.0,15.0,0.0,0.0,0.0,0.0,1.0,0.024065158022437735
83.0,16.0,0.0,0.0,0.0,0.0,1.0,0.024425539279873662
82.0,17.0,0.0,0.0,0.0,0.0,1.0,0.024527970477018088
81.0,18.0,0.0,0.0,0.0,0.0,1.0,0.024604910042013747
80.0,19.0,0.0,0.0,0.0,0.0,1.0,0.02577168821264612
79.0,20.0,0.0,0.0,0.0,0.0,1.0,0.026277158949609147
78.0,21.0,0.0,0.0,0.0,0.0,1.0,0.026569249674392493
77.0,22.0,0.0,0.0,0.0,0.0,1.0,0.02668779673881312
76.0,23.0,0.0,0.0,0.0,0.0,1.0,0.027086578202612243
75.0,24.0,0.0,0.0,0.0,0.0,1.0,0.027606684453026116
74.0,25.0,0.0,0.0,0.0,0.0,1.0,0.027623554740619356
73.0,26.0,0.0,0.0,0.0,0.0,1.0,0.027877044357196484
72.0,27.0,0.0,0.0,0.0,0.0,1.0,0.030338222311656303
71.0,28.0,0.0,0.0,0.0,0.0,1.0,0.030679235989404627
70.0,29.0,0.0,0.0,0.0,0.0,1.0,0.03081569115710982
69.0,30.0,0.0,0.0,0.0,0.0,1.0,0.03181069423703299
68.0,31.0,0.0,0.0,0.0,0.0,1.0,0.03200565036630761
67.0,32.0,0.0,0.0,0.0,0.0,1.0,0.03212476114320509
66.0,33.0,0.0,0.0,0.0,0.0,1.0,0.03223751029749029
65.0,34.0,0.0,0.0,0.0,0.0,1.0,0.03253592109350892
64.0,35.0,0.0,0.0,0.0,0.0,1.0,0.03341260819104227
63.0,36.0,0.0,0.0,0.0,0.0,1.0,0.033570661746285126
62.0,37.0,0.0,0.0,0.0,0.0,1.0,0.03409936212819794
61.0,38.0,0.0,0.0,0.0,0.0,1.0,0.03492468916622164
60.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0352688194181035
59.0,40.0,0.0,0.0,0.0,0.0,1.0,0.03538557899164547
58.0,41.0,0.0,0.0,0.0,0.0,1.0,0.03541209107230877
57.0,42.0,0.0,0.0,0.0,0.0,1.0,0.036872311682466664
56.0,43.0,0.0,0.0,0.0,0.0,1.0,0.03691272078682903
55.0,44.0,0.0,0.0,0.0,0.0,1.0,0.03714736487063268
54.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0375333515743953
53.0,46.0,0.0,0.0,0.0,0.0,1.0,0.03808330449905173
52.0,47.0,0.0,0.0,0.0,0.0,1.0,0.03871132349574393
51.0,48.0,0.0,0.0,0.0,0.0,1.0,0.03885565912014601
50.0,49.0,0.0,0.0,0.0,0.0,1.0,0.04028763477623192
49.0,50.0,0.0,0.0,0.0,0.0,1.0,0.04219720976408707
48.0,51.0,0.0,0.0,0.0,0.0,1.0,0.042462922528030585
47.0,52.0,0.0,0.0,0.0,0.0,1.0,0.04371676252600095
46.0,53.0,0.0,0.0,0.0,0.0,1.0,0.04408984007856498
45.0,54.0,0.0,0.0,0.0,0.0,1.0,0.04425767777673249
44.0,55.0,0.0,0.0,0.0,0.0,1.0,0.04481113653450581
43.0,56.0,0.0,0.0,0.0,0.0,1.0,0.04548154082338434
42.0,57.0,0.0,0.0,0.0,0.0,1.0,0.04619468199254533
41.0,58.0,0.0,0.0,0.0,0.0,1.0,0.04638451136519945
40.0,59.0,0.0,0.0,0.0,0.0,1.0,0.04673760054326464
39.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0471133803819656
38.0,61.0,0.0,0.0,0.0,0.0,1.0,0.04735385654523464
37.0,62.0,0.0,0.0,0.0,0.0,1.0,0.047448875675274046
36.0,63.0,0.0,0.0,0.0,0.0,1.0,0.0475257554182196
35.0,64.0,0.0,0.0,0.0,0.0,1.0,0.04764774704594019
34.0,65.0,0.0,0.0,0.0,0.0,1.0,0.04892214464893702
33.0,66.0,0.0,0.0,0.0,0.0,1.0,0.04929223651702694
32.0,67.0,0.0,0.0,0.0,0.0,1.0,0.04941376055027154
31.0,68.0,0.0,0.0,0.0,0.0,1.0,0.050568961008870435
30.0,69.0,0.0,0.0,0.0,0.0,1.0,0.05059549888395027
29.0,70.0,0.0,0.0,0.0,0.0,1.0,0.05182073494461167
28.0,71.0,0.0,0.0,0.0,0.0,1.0,0.05201598548520701
27.0,72.0,0.0,0.0,0.0,0.0,1.0,0.052425844063533567
26.0,73.0,0.0,0.0,0.0,0.0,1.0,0.053071541917528504
25.0,74.0,0.0,0.0,0.0,0.0,1.0,0.05317058245823746
24.0,75.0,0.0,0.0,0.0,0.0,1.0,0.054401505751916775
23.0,76.0,0.0,0.0,0.0,0.0,1.0,0.05440214735139329
22.0,77.0,0.0,0.0,0.0,0.0,1.0,0.05529799342310875
21.0,78.0,0.0,0.0,0.0,0.0,1.0,0.05660719677160126
20.0,79.0,0.0,0.0,0.0,0.0,1.0,0.056625653414043305
19.0,80.0,0.0,0.0,0.0,0.0,1.0,0.05707987547390201
18.0,81.0,0.0,0.0,0.0,0.0,1.0,0.05832809427809097
17.0,82.0,0.0,0.0,0.0,0.0,1.0,0.05982317772860074
16.0,83.0,0.0,0.0,0.0,0.0,1.0,0.05996042261531346
15.0,84.0,0.0,0.0,0.0,0.0,1.0,0.05997198149724244
14.0,85.0,0.0,0.0,0.0,0.0,1.0,0.06003043048966085
13.0,86.0,0.0,0.0,0.0,0.0,1.0,0.06019699935664968
12.0,87.0,0.0,0.0,0.0,0.0,1.0,0.06038918856701139
11.0,88.0,0.0,0.0,0.0,0.0,1.0,0.061445318798695504
10.0,89.0,0.0,0.0,0.0,0.0,1.0,0.06474439418864295
9.0,90.0,0.0,0.0,0.0,0.0,1.0,0.06654458813603595
8.0,91.0,0.0,0.0,0.0,0.0,1.0,0.06675060885916759
7.0,92.0,0.0,0.0,0.0,0.0,1.0,0.06770164424627234
6.0,93.0,0.0,0.0,0.0,0.0,1.0,0.06916592380738402
5.0,94.0,0.0,0.0,0.0,0.0,1.0,0.07074992879166338
4.0,95.0,0.0,0.0,0.0,0.0,1.0,0.07590003917049845
3.0,96.0,0.0,0.0,0.0,0.0,1.0,0.07649993063224554
2.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0823747061304965
1.0,98.0,0.0,0.0,0.0,0.0,1.0,0.08407776382064622
0.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0908199629502481
