V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.006640890688392894
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.01534680062449335
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.017452641088676682
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.019065094002147294
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.019557203800424007
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.02059092435862041
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.022060443280317654
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.02375289444711775
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.02376055048793197
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.02634807607651892
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.027177996661041308
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.027334688022469446
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.027836095164057797
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0304484695721957
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.03104874725026893
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.03128874496357242
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.03178651137048231
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.031841462628625465
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.03278183133348639
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.033095854144254665
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.033264970786210685
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.03330402016369496
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.033440761313618485
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.03379004400786076
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.03421855509555593
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.03434747639182676
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.03447895959006505
