,0,1,2,3,4,5,6,7,8,9
max_peack_black,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0
final_black,99.0,99.0,0.0,99.0,97.0,99.0,99.0,0.0,0.0,0.0
t_window,0.39734380754089077,0.6279700692521313,0.40135940228756534,0.8574663940904138,0.3783463576132466,0.050947139065875724,0.5328454793066788,0.4871556140511991,0.5042738612398795,0.18549978439278242
