V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.014118873333133424
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.015355682716294169
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.015731902243903934
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.021208368993817932
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.02170198966563771
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.022547676309784638
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.023642286761667675
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.024056055809719614
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.024288878192719937
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.026609526759070995
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.027271166248387536
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.028137468940788488
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.02825375511798455
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.028297931512230298
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.028472320299497055
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.02930796356435388
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.02932763290988063
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.029445567528896256
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.029530250106476773
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.030653516638976308
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.03089447781161745
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.031248715291725473
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.03196430236338336
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.03235629470751372
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.03274577237639948
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.03379783160145273
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0351106295699141
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.03602530114689046
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.036346439237675346
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.03657266198468225
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.036977047722730555
66.0,33.0,0.0,0.0,1.0,0.0,0.0,0.036999635976826824
65.0,34.0,0.0,0.0,1.0,0.0,0.0,0.03703941575999393
64.0,35.0,0.0,0.0,1.0,0.0,0.0,0.03737317678422915
63.0,36.0,0.0,0.0,1.0,0.0,0.0,0.03853613610042999
62.0,37.0,0.0,0.0,1.0,0.0,0.0,0.03861782736147362
61.0,38.0,0.0,0.0,1.0,0.0,0.0,0.03994304805284105
60.0,39.0,0.0,0.0,1.0,0.0,0.0,0.04024126047834368
59.0,40.0,0.0,0.0,1.0,0.0,0.0,0.040267184271112484
58.0,41.0,0.0,0.0,1.0,0.0,0.0,0.040395073077097436
57.0,42.0,0.0,0.0,1.0,0.0,0.0,0.04092526588775365
56.0,43.0,0.0,0.0,1.0,0.0,0.0,0.041106577765865154
55.0,44.0,0.0,0.0,1.0,0.0,0.0,0.04130843997981902
54.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0415342513661387
53.0,46.0,0.0,0.0,1.0,0.0,0.0,0.04195645423553076
52.0,47.0,0.0,0.0,1.0,0.0,0.0,0.044468460781932624
51.0,48.0,0.0,0.0,1.0,0.0,0.0,0.044611097274390034
50.0,49.0,0.0,0.0,1.0,0.0,0.0,0.04492237902102959
49.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0452738187663902
48.0,51.0,0.0,0.0,1.0,0.0,0.0,0.04528421096507462
47.0,52.0,0.0,0.0,1.0,0.0,0.0,0.04531297351737463
46.0,53.0,0.0,0.0,1.0,0.0,0.0,0.04531963532222732
45.0,54.0,0.0,0.0,1.0,0.0,0.0,0.045609251010678406
44.0,55.0,0.0,0.0,1.0,0.0,0.0,0.04567894202453931
43.0,56.0,0.0,0.0,1.0,0.0,0.0,0.04584711233552158
42.0,57.0,0.0,0.0,1.0,0.0,0.0,0.045905486369879296
41.0,58.0,0.0,0.0,1.0,0.0,0.0,0.04590770899006953
40.0,59.0,0.0,0.0,1.0,0.0,0.0,0.046068253204472255
39.0,60.0,0.0,0.0,1.0,0.0,0.0,0.04706647642456464
38.0,61.0,0.0,0.0,1.0,0.0,0.0,0.047619851723852816
37.0,62.0,0.0,0.0,1.0,0.0,0.0,0.04776373941088209
36.0,63.0,0.0,0.0,1.0,0.0,0.0,0.049282681550135286
35.0,64.0,0.0,0.0,1.0,0.0,0.0,0.049443434730053526
34.0,65.0,0.0,0.0,1.0,0.0,0.0,0.049601440553559785
33.0,66.0,0.0,0.0,1.0,0.0,0.0,0.050192078669868745
32.0,67.0,0.0,0.0,1.0,0.0,0.0,0.05063452888122506
31.0,68.0,0.0,0.0,1.0,0.0,0.0,0.050720236318884906
30.0,69.0,0.0,0.0,1.0,0.0,0.0,0.05085039407273264
29.0,70.0,0.0,0.0,1.0,0.0,0.0,0.05175281294576537
28.0,71.0,0.0,0.0,1.0,0.0,0.0,0.05223112408115396
27.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0522810358992087
26.0,73.0,0.0,0.0,1.0,0.0,0.0,0.053318584511146565
26.0,73.0,0.0,1.0,0.0,0.0,0.0,0.053836116360445246
25.0,74.0,0.0,1.0,0.0,0.0,0.0,0.054547487204193064
24.0,75.0,0.0,1.0,0.0,0.0,0.0,0.055013696817012264
23.0,76.0,0.0,1.0,0.0,0.0,0.0,0.05604379507478852
22.0,77.0,0.0,1.0,0.0,0.0,0.0,0.05624387793810868
21.0,78.0,0.0,1.0,0.0,0.0,0.0,0.05642736299330224
