V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
98.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0035511654453838277
97.0,1.0,0.0,0.0,1.0,1.0,0.0,0.014342714426996495
97.0,1.0,0.0,0.0,0.0,2.0,0.0,0.016813124168566215
96.0,1.0,0.0,0.0,1.0,2.0,0.0,0.017330075899828372
95.0,1.0,0.0,0.0,2.0,2.0,0.0,0.02795567290590198
94.0,1.0,0.0,0.0,3.0,2.0,0.0,0.02826140853365268
94.0,1.0,0.0,0.0,2.0,3.0,0.0,0.02827239954820879
94.0,1.0,0.0,0.0,1.0,4.0,0.0,0.03210478265926113
93.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0323506359270787
93.0,1.0,0.0,0.0,1.0,5.0,0.0,0.03447238499006891
93.0,0.0,0.0,1.0,1.0,5.0,0.0,0.03538181567684276
92.0,0.0,0.0,1.0,2.0,5.0,0.0,0.03548612272907892
91.0,0.0,0.0,1.0,3.0,5.0,0.0,0.03622493370113202
90.0,0.0,0.0,1.0,4.0,5.0,0.0,0.03674429546042367
89.0,0.0,0.0,1.0,5.0,5.0,0.0,0.03886450449922918
88.0,0.0,0.0,1.0,6.0,5.0,0.0,0.039824331412705874
88.0,0.0,0.0,1.0,5.0,6.0,0.0,0.04052698515071081
87.0,0.0,0.0,1.0,6.0,6.0,0.0,0.04055603414047931
87.0,0.0,0.0,1.0,5.0,7.0,0.0,0.04083597126071917
87.0,0.0,0.0,1.0,4.0,8.0,0.0,0.04096996025365301
87.0,0.0,0.0,1.0,3.0,9.0,0.0,0.041813952080151054
87.0,0.0,0.0,1.0,2.0,10.0,0.0,0.043695338892435306
86.0,0.0,0.0,1.0,3.0,10.0,0.0,0.04406467946282037
85.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0445516895383206
84.0,1.0,0.0,1.0,4.0,10.0,0.0,0.04455355103004801
83.0,1.0,0.0,1.0,5.0,10.0,0.0,0.044900933522344054
82.0,1.0,0.0,1.0,6.0,10.0,0.0,0.04588112963021009
81.0,1.0,0.0,1.0,7.0,10.0,0.0,0.04608366373393439
81.0,1.0,1.0,0.0,7.0,10.0,0.0,0.046728078333448816
80.0,1.0,1.0,0.0,8.0,10.0,0.0,0.046783874546005536
80.0,1.0,1.0,0.0,7.0,11.0,0.0,0.048539037058686084
79.0,1.0,1.0,0.0,8.0,11.0,0.0,0.05117103718794643
78.0,2.0,1.0,0.0,8.0,11.0,0.0,0.05141359761273317
77.0,3.0,1.0,0.0,8.0,11.0,0.0,0.05160248900652444
76.0,3.0,1.0,0.0,9.0,11.0,0.0,0.05206590719114384
75.0,3.0,1.0,0.0,10.0,11.0,0.0,0.05212800773787949
75.0,2.0,1.0,1.0,10.0,11.0,0.0,0.05248706262082114
75.0,2.0,1.0,1.0,9.0,12.0,0.0,0.05295819564248785
74.0,2.0,1.0,1.0,10.0,12.0,0.0,0.05365372524305025
74.0,2.0,1.0,1.0,9.0,13.0,0.0,0.054018825712257336
74.0,2.0,1.0,1.0,8.0,14.0,0.0,0.054290871515757955
74.0,2.0,1.0,1.0,7.0,15.0,0.0,0.05466591760151403
74.0,2.0,1.0,1.0,6.0,16.0,0.0,0.05524322539957251
73.0,2.0,1.0,1.0,7.0,16.0,0.0,0.05524684156578171
72.0,3.0,1.0,1.0,7.0,16.0,0.0,0.055257109549289266
71.0,4.0,1.0,1.0,7.0,16.0,0.0,0.055317704027350374
71.0,4.0,2.0,0.0,7.0,16.0,0.0,0.055443924485975925
70.0,4.0,2.0,0.0,8.0,16.0,0.0,0.05592828166760032
70.0,4.0,2.0,0.0,7.0,17.0,0.0,0.05665940463127663
70.0,4.0,2.0,0.0,6.0,18.0,0.0,0.05689822680031175
