beta,epsilon,protected
0.01,0.1,0.00010100080923522821
0.01,0.15,0.00010100120528875642
0.01,0.2,0.00010100156861286188
0.01,0.3,0.00010100221206114079
0.01,0.6,0.00010100366285615524
0.01,1.0,0.00010100492361110101
0.01,2.0,0.00010100660955166269
0.5357894736842106,0.1,0.00015631471442651253
0.5357894736842106,0.15,0.00015759670799524007
0.5357894736842106,0.2,0.00015882423513998708
0.5357894736842106,0.3,0.00016112920816603918
0.5357894736842106,0.6,0.00016703967759493577
0.5357894736842106,1.0,0.00017317110601095816
0.5357894736842106,2.0,0.0001833331596117467
1.0615789473684212,0.1,0.0002174765772069245
1.0615789473684212,0.15,0.0002231966290370298
1.0615789473684212,0.2,0.00022895216598255904
1.0615789473684212,0.3,0.00024057100371895169
1.0615789473684212,0.6,0.0002763138743946642
1.0615789473684212,1.0,0.00032614517792827125
1.0615789473684212,2.0,0.0004628557878875744
1.5873684210526318,0.1,0.00028546481481049997
1.5873684210526318,0.15,0.00030013418910699793
1.5873684210526318,0.2,0.00031577868745259096
1.5873684210526318,0.3,0.0003504093255962624
1.5873684210526318,0.6,0.0004919109844609713
1.5873684210526318,1.0,0.0008675867742013862
1.5873684210526318,2.0,0.11039800601224148
2.113157894736842,0.1,0.0003614888122444966
2.113157894736842,0.15,0.0003916242760608827
2.113157894736842,0.2,0.00042606932723018013
2.113157894736842,0.3,0.0005121993223390586
2.113157894736842,0.6,0.0011150931474982375
2.113157894736842,1.0,0.10841676306697565
2.113157894736842,2.0,0.518154815758992
2.6389473684210527,0.1,0.0004470612652245047
2.6389473684210527,0.15,0.0005022229537899046
2.6389473684210527,0.2,0.0005708110044201066
2.6389473684210527,0.3,0.0007741476811693987
2.6389473684210527,0.6,0.014818859426632386
2.6389473684210527,1.0,0.4420909789354989
2.6389473684210527,2.0,0.7166028782865309
3.1647368421052633,0.1,0.0005440995267858819
3.1647368421052633,0.15,0.0006386073713536942
3.1647368421052633,0.2,0.0007691077667763231
3.1647368421052633,0.3,0.0012705554576850425
3.1647368421052633,0.6,0.29856747313101045
3.1647368421052633,1.0,0.6325652186503404
3.1647368421052633,2.0,0.8243995125018904
3.690526315789474,0.1,0.0006550704340162749
3.690526315789474,0.15,0.0008109707216157789
3.690526315789474,0.2,0.001057356392747614
3.690526315789474,0.3,0.002565689667120007
3.690526315789474,0.6,0.4986255055525162
3.690526315789474,1.0,0.7490392918848959
3.690526315789474,2.0,0.887341555746797
4.2163157894736845,0.1,0.0007832020301955494
4.2163157894736845,0.15,0.001035682359046735
4.2163157894736845,0.2,0.0015144498242393935
4.2163157894736845,0.3,0.012701250648429883
4.2163157894736845,0.6,0.6319630060192961
4.2163157894736845,1.0,0.8240452205723828
4.2163157894736845,2.0,0.9259460132123034
4.742105263157895,0.1,0.0009328011757153388
4.742105263157895,0.15,0.0013407860335826918
4.742105263157895,0.2,0.002348770830750872
4.742105263157895,0.3,0.17153805876147465
4.742105263157895,0.6,0.7242834902399149
4.742105263157895,1.0,0.8742088877143027
4.742105263157895,2.0,0.9504641474744974
5.267894736842106,0.1,0.00110974430891945
5.267894736842106,0.15,0.0017786158250935205
5.267894736842106,0.2,0.004339959988192871
5.267894736842106,0.3,0.33425422657263487
5.267894736842106,0.6,0.7901417955717274
5.267894736842106,1.0,0.9087272399396478
5.267894736842106,2.0,0.9664371313988951
5.793684210526316,0.1,0.0013222621924279525
5.793684210526316,0.15,0.002459148099670434
5.793684210526316,0.2,0.014051096532746823
5.793684210526316,0.3,0.45879383470241525
5.793684210526316,0.6,0.8382417685177516
5.793684210526316,1.0,0.9330066898453993
5.793684210526316,2.0,0.9770416407442263
6.319473684210527,0.1,0.0015822461487561713
6.319473684210527,0.15,0.003658171799334574
6.319473684210527,0.2,0.10928240412357347
6.319473684210527,0.3,0.5553594669175907
6.319473684210527,0.6,0.8740411802669414
6.319473684210527,1.0,0.9503802889484928
6.319473684210527,2.0,0.984182776126011
6.845263157894737,0.1,0.0019075287170502477
6.845263157894737,0.15,0.006302970527185552
6.845263157894737,0.2,0.24025158366375632
6.845263157894737,0.3,0.6313919505182317
6.845263157894737,0.6,0.9010975297803591
6.845263157894737,1.0,0.9629829782836931
6.845263157894737,2.0,0.9890436729154342
7.371052631578948,0.1,0.002326102080015592
7.371052631578948,0.15,0.015902310314390777
7.371052631578948,0.2,0.3497075547245804
7.371052631578948,0.3,0.6920724077676349
7.371052631578948,0.6,0.9218063000040846
7.371052631578948,1.0,0.9722253286339544
7.371052631578948,2.0,0.9923796534842152
7.8968421052631586,0.1,0.002884496165052791
7.8968421052631586,0.15,0.07648025969224981
7.8968421052631586,0.2,0.4400880026226862
7.8968421052631586,0.3,0.741068764652078
7.8968421052631586,0.6,0.9378239614308845
7.8968421052631586,1.0,0.9790632215424201
7.8968421052631586,2.0,0.9946834758776624
8.42263157894737,0.1,0.0036659828164771974
8.42263157894737,0.15,0.1810700327435404
8.42263157894737,0.2,0.5152096654458107
8.42263157894737,0.3,0.7810311640796996
8.42263157894737,0.6,0.9503227371852132
8.42263157894737,1.0,0.9841585117782949
8.42263157894737,2.0,0.996282084034808
8.948421052631579,0.1,0.004835047941110818
8.948421052631579,0.15,0.2762675342980273
8.948421052631579,0.2,0.5781445278991494
8.948421052631579,0.3,0.8139112500793599
8.948421052631579,0.6,0.9601481882163639
8.948421052631579,1.0,0.9879773873394152
8.948421052631579,2.0,0.9973953877839365
9.47421052631579,0.1,0.006764656208623442
9.47421052631579,0.15,0.3585003496669998
9.47421052631579,0.2,0.631266842057566
9.47421052631579,0.3,0.8411712293443264
9.47421052631579,0.6,0.9679208423642303
9.47421052631579,1.0,0.9908531835661402
9.47421052631579,2.0,0.9981728763412021
10.0,0.1,0.010490508524345963
10.0,0.15,0.42937718685651055
10.0,0.2,0.6764137503846585
10.0,0.3,0.8639236452613064
10.0,0.6,0.9741024855522474
10.0,1.0,0.993027191076872
10.0,2.0,0.9987169920912496
